date,vernacularname,day,month,year,decimallatitude,decimallongitude,province,country,protectedarea,roadsurface,scientificname,incidenttype,habitatgcategory
05/04/88,honey badger,5,4,1988,NA,NA,Western Cape,South Africa,No,Paved,Mellivora capensis,Road Collision,Not given
01/12/94,yellow mongoose,1,12,1994,-25.8167,28.0278,Not given,South Africa,No,Unpaved,Cynictis penicillata,Road Collision,Not given
01/08/97,brown hyena,1,8,1997,-28.567003,16.464962,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
02/10/98,brown hyena,2,10,1998,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
02/10/98,brown hyena,2,10,1998,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
02/10/98,brown hyena,2,10,1998,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
18/07/99,aardwolf,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
16/09/99,aardwolf,16,9,1999,-24.8169,27.4753,Not given,South Africa,No,Not recorded,Proteles cristata,Road Collision,Not given
18/07/99,african wild cat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Felis lybica,Road Collision,Not given
13/04/99,brown hyena,13,4,1999,-26.721575,15.293323000000001,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
23/06/99,brown hyena,23,6,1999,-28.567003,16.464962,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
20/10/99,small-spotted genet,20,10,1999,NA,NA,Western Cape,South Africa,No,Paved,Genetta genetta,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
18/07/99,striped polecat,18,7,1999,NA,NA,Gauteng,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/07/99,striped polecat,21,7,1999,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
02/08/00,brown hyena,2,8,2000,-26.605719,15.52677,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
03/10/00,brown hyena,3,10,2000,-26.658134,15.164238,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
17/10/00,brown hyena,17,10,2000,-28.567003,16.464962,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
06/01/00,small-spotted genet,6,1,2000,NA,NA,Western Cape,South Africa,Yes,Paved,Genetta genetta,Road Collision,Not given
12/01/01,african civet,12,1,2001,-24.8169,27.4753,Not given,South Africa,No,Not recorded,Civettictis civetta,Road Collision,Not given
20/06/01,brown hyena,20,6,2001,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
13/11/01,brown hyena,13,11,2001,-26.885878,15.198084,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
03/03/01,caracal,3,3,2001,NA,NA,Western Cape,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
03/03/01,caracal,3,3,2001,NA,NA,Western Cape,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
06/10/02,brown hyena,6,10,2002,NA,NA,Erongo Region,Namibia,Yes,Not recorded,Hyaena brunnea,Road Collision,Not given
24/11/02,brown hyena,24,11,2002,-26.718423,15.326001,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
09/04/03,brown hyena,9,4,2003,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
15/04/03,brown hyena,15,4,2003,-26.885878,15.198084,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
14/05/04,brown hyena,14,5,2004,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
28/06/04,brown hyena,28,6,2004,-26.721575,15.293323000000001,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
05/12/04,brown hyena,5,12,2004,-26.605719,15.52677,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
16/06/04,large-spotted genet,16,6,2004,-28.4196,32.3011,KwaZulu-Natal,South Africa,No,Not recorded,Genetta tigrina,Road Collision,Not given
16/07/04,large-spotted genet,16,7,2004,-28.4196,32.3011,Not given,South Africa,No,Not recorded,Genetta tigrina,Road Collision,Not given
23/11/05,black-backed jackal,23,11,2005,-26.56714,28.3767,Gauteng,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
12/06/05,brown hyena,12,6,2005,NA,NA,Northern Cape,South Africa,No,Not recorded,Hyaena brunnea,Road Collision,Not given
18/11/05,brown hyena,18,11,2005,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
10/12/06,banded mongoose,10,12,2006,-25.67844,28.50332,Gauteng,South Africa,No,Paved,Mungos mungo,Road Collision,Not given
18/09/06,brown hyena,18,9,2006,-26.66469,15.178145,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
16/10/06,brown hyena,16,10,2006,-27.867365,16.690843,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
01/05/06,spotted hyena,1,5,2006,-26.609924,16.07381,Karas Region,Namibia,No,Unpaved,Crocuta crocuta,Road Collision,Not given
18/07/06,yellow mongoose,18,7,2006,-26.4488,28.6219,Gauteng,South Africa,No,Unpaved,Cynictis penicillata,Road Collision,Grassland
17/05/07,black-backed jackal,17,5,2007,-26.4343,28.2508,Gauteng,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
13/04/07,brown hyena,13,4,2007,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Eastern Cape,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Eastern Cape,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Not given,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
24/11/07,striped polecat,24,11,2007,-31.0867,28.2594,Not given,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
01/02/07,yellow mongoose,1,2,2007,-26.76688,28.38156,Gauteng,South Africa,No,Unpaved,Cynictis penicillata,Road Collision,Agricultural
04/07/08,aardwolf,4,7,2008,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
05/07/08,aardwolf,5,7,2008,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
NA,aardwolf,NA,7,2008,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
06/07/08,aardwolf,6,7,2008,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
06/07/08,aardwolf,6,7,2008,NA,NA,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
25/08/08,aardwolf,25,8,2008,NA,NA,Northern Cape,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
25/08/08,african wild cat,25,8,2008,NA,NA,Northern Cape,South Africa,No,Paved,Felis lybica,Road Collision,Not given
10/08/08,bat-eared fox,10,8,2008,NA,NA,Western Cape,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
25/08/08,black-footed cat,25,8,2008,NA,NA,Northern Cape,South Africa,No,Paved,Felis nigripes,Road Collision,Not given
01/05/08,brown hyena,1,5,2008,-26.677531,15.19764,Karas Region,Namibia,No,Paved,Hyaena brunnea,Road Collision,Not given
11/07/08,cape fox,11,7,2008,NA,NA,Eastern Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
19/08/08,cape fox,19,8,2008,NA,NA,Western Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
25/08/08,cape fox,25,8,2008,NA,NA,Northern Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
09/08/08,striped polecat,9,8,2008,-32.39104225,20.00823656,Northern Cape,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
04/07/08,striped polecat,4,7,2008,NA,NA,Free State,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
11/07/08,striped polecat,11,7,2008,NA,NA,Eastern Cape,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
22/07/08,striped polecat,22,7,2008,NA,NA,Western Cape,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
06/07/08,suricate,5,7,2008,NA,NA,Free State,South Africa,No,Paved,Suricata suricatta,Road Collision,Not given
NA,suricate,NA,7,2008,NA,NA,Free State,South Africa,No,Paved,Suricata suricatta,Road Collision,Not given
06/07/08,yellow mongoose,5,7,2008,NA,NA,Free State,South Africa,No,Paved,Cynictis penicillata,Road Collision,Not given
11/07/08,yellow mongoose,11,7,2008,NA,NA,Eastern Cape,South Africa,No,Paved,Cynictis penicillata,Road Collision,Not given
25/08/08,yellow mongoose,25,8,2008,NA,NA,Northern Cape,South Africa,No,Paved,Cynictis penicillata,Road Collision,Not given
01/09/09,bat-eared fox,1,9,2009,-26.934343,20.651321,Northern Cape,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
25/07/09,bat-eared fox,25,7,2009,NA,NA,Western Cape,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
28/07/09,bat-eared fox,28,7,2009,NA,NA,Western Cape,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
01/02/09,brown hyena,1,2,2009,-26.56009,15.159458,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
31/03/09,brown hyena,31,3,2009,-26.605719,15.52677,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
05/06/09,brown hyena,5,6,2009,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
08/08/09,brown hyena,8,8,2009,-28.567003,16.464962,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
14/07/09,cape clawless otter,14,7,2009,-26.45836,28.73831,Gauteng,South Africa,No,Paved,Aonyx capensis,Road Collision,Grassland
20/08/09,cape fox,20,8,2009,NA,NA,Western Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
20/08/09,cape grey mongoose,20,8,2009,NA,NA,Western Cape,South Africa,No,Paved,Galerella pulverulenta,Road Collision,Not given
17/10/09,small-spotted genet,17,10,2009,NA,NA,Western Cape,South Africa,Yes,Paved,Genetta genetta,Road Collision,Not given
11/11/09,striped polecat,11,11,2009,-26.60901,27.4135,Gauteng,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
21/07/09,striped polecat,21,7,2009,NA,NA,Northern Cape,South Africa,No,Not recorded,Ictonyx striatus,Road Collision,Not given
17/01/10,african wild cat,17,1,2010,-34.09506,19.54008,Western Cape,South Africa,No,Paved,Felis lybica,Road Collision,Not given
14/07/10,bat-eared fox,14,7,2010,-30.41509667,24.41382,Northern Cape,South Africa,No,Paved,Otocyon megalotis,Road Collision,Not given
10/09/10,black-backed jackal,10,9,2010,-25.9169,27.2269,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
12/09/10,black-backed jackal,12,9,2010,-25.9169,27.2269,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
15/05/10,brown hyena,15,5,2010,-26.605719,15.52677,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
16/05/10,brown hyena,16,5,2010,-22.815025,14.547214,Erongo Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
23/07/10,brown hyena,23,7,2010,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
27/07/10,cape grey mongoose,27,7,2010,NA,NA,Eastern Cape,South Africa,No,Paved,Galerella pulverulenta,Road Collision,Not given
15/09/10,cape grey mongoose,15,9,2010,NA,NA,Western Cape,South Africa,Yes,Paved,Galerella pulverulenta,Road Collision,Not given
09/04/10,honey badger,9,4,2010,-26.188205,27.43572,North West,South Africa,No,Paved,Mellivora capensis,Road Collision,Grassland
10/09/10,honey badger,10,9,2010,-25.698768,27.098432,North West,South Africa,No,Paved,Mellivora capensis,Road Collision,Veld
27/10/10,large-spotted genet,27,10,2010,-26.006262,27.329745,North West,South Africa,No,Paved,Genetta tigrina,Road Collision,Alien Invasive
10/09/10,serval,10,9,2010,-25.58686,26.28488,North West,South Africa,No,Paved,Leptailurus serval,Road Collision,Veld
20/04/10,small-spotted genet,20,4,2010,NA,NA,KwaZulu-Natal,South Africa,No,Paved,Genetta genetta,Road Collision,Not given
02/09/10,white-tailed mongoose,2,9,2010,-25.64344,26.41358,North West,South Africa,No,Paved,Ichneumia albicauda,Road Collision,Riparian
01/03/11,aardwolf,1,3,2011,-25.20833333,26.04166667,North West,South Africa,No,Paved,Proteles cristata,Road Collision,Veld
11/11/11,aardwolf,11,11,2011,-25.90706667,25.5518,North West,South Africa,No,Paved,Proteles cristata,Road Collision,Grassland
29/07/11,aardwolf,29,7,2011,-25.54166667,27.79166667,North West,South Africa,No,Paved,Proteles cristata,Road Collision,Agricultural
16/06/11,aardwolf,16,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
10/01/11,african civet,10,1,2011,-26.721579,28.412525,KwaZulu-Natal,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
08/01/11,african civet,8,1,2011,-26.829044,28.469006,KwaZulu-Natal,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
12/03/11,african civet,12,3,2011,-27.444127,28.81586,KwaZulu-Natal,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
01/05/11,african civet,1,5,2011,-26.676211,28.393035,KwaZulu-Natal,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
04/07/11,african civet,4,7,2011,-27.518611,28.831483,KwaZulu-Natal,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
14/07/11,african civet,14,7,2011,-28.420578,29.441925,Mpumalanga,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
14/07/11,african civet,14,7,2011,-28.420578,29.441925,Mpumalanga,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
13/12/11,african civet,13,12,2011,-23.93183,30.572389,Not given,South Africa,Yes,Not recorded,Civettictis civetta,Road Collision,Not given
12/06/11,bat-eared fox,12,6,2011,-29.2653269,18.8151544,Northern Cape,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
25/03/11,bat-eared fox,25,3,2011,-29.77970833,23.34705667,Northern Cape,South Africa,No,Paved,Otocyon megalotis,Road Collision,Not given
25/03/11,bat-eared fox,25,3,2011,-29.60148,23.13151167,Northern Cape,South Africa,No,Paved,Otocyon megalotis,Road Collision,Not given
07/07/11,bat-eared fox,7,7,2011,-30.77093833,23.97017333,Northern Cape,South Africa,No,Paved,Otocyon megalotis,Road Collision,Not given
12/06/11,bat-eared fox,12,6,2011,-29.2653269,18.8151544,Northern Cape,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
12/06/11,bat-eared fox,12,6,2011,-29.2653269,18.8151544,Not given,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
06/12/11,bat-eared fox,6,12,2011,-29.2653269,18.8151544,Not given,South Africa,No,Not recorded,Otocyon megalotis,Road Collision,Not given
16/06/11,bat-eared fox,16,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Otocyon megalotis,Road Collision,Not given
14/07/11,bat-eared fox,14,7,2011,NA,NA,Western Cape,South Africa,No,Paved,Otocyon megalotis,Road Collision,Not given
22/03/11,black-backed jackal,22,3,2011,-26.721448,28.412191,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
14/05/11,black-backed jackal,14,5,2011,-27.158112,28.701697,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
08/07/11,black-backed jackal,8,7,2011,-27.061142,28.639292,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
15/07/11,black-backed jackal,15,7,2011,-27.226473,28.732831,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
09/07/11,black-backed jackal,9,7,2011,-27.084471,28.654178,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
07/07/11,black-backed jackal,7,7,2011,-26.90534,28.53969,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
26/07/11,black-backed jackal,26,7,2011,-27.547098,28.836939,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
08/09/11,black-backed jackal,8,9,2011,-27.467012,28.821611,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
27/10/11,black-backed jackal,27,10,2011,-27.243083,28.740405,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
11/10/11,black-backed jackal,11,10,2011,-27.421564,28.808647,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
24/12/11,black-backed jackal,24,12,2011,-27.552444,28.837968,KwaZulu-Natal,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
01/03/11,black-backed jackal,1,3,2011,-25.63796667,27.02545,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
01/04/11,black-backed jackal,1,4,2011,-25.75761667,26.60251667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
02/04/11,black-backed jackal,2,4,2011,-25.84458333,26.7048,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
03/06/11,black-backed jackal,3,6,2011,-26.0566467,25.9578845,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
03/06/11,black-backed jackal,3,6,2011,-26.04177796,25.93568327,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
03/06/11,black-backed jackal,3,6,2011,-26.02046667,27.14196667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
01/08/11,black-backed jackal,1,8,2011,-25.79166667,26.79166667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Grassland
02/08/11,black-backed jackal,2,8,2011,-25.62213,26.02869,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
12/08/11,black-backed jackal,12,8,2011,-26.31608,26.28585,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Not given
14/10/11,black-backed jackal,14,10,2011,-25.76308333,25.93088333,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
09/11/11,black-backed jackal,9,11,2011,-26.65037,25.4807,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
19/11/11,black-backed jackal,19,11,2011,-26.51031667,25.78108333,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
23/01/11,black-backed jackal,23,1,2011,-25.36333333,23.53498333,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
13/05/11,black-backed jackal,13,5,2011,-25.70833333,27.70833333,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
15/09/11,black-backed jackal,15,9,2011,-25.73997,25.98629,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
18/01/11,black-backed jackal,18,1,2011,-25.625,26.95833333,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
19/02/11,black-backed jackal,19,2,2011,-25.70833333,27.79166667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
23/02/11,black-backed jackal,23,2,2011,-25.79166667,25.875,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
23/02/11,black-backed jackal,23,2,2011,-25.70833333,26.04166667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
26/05/11,black-backed jackal,26,5,2011,-25.99373333,27.29206667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Agricultural
26/05/11,black-backed jackal,26,5,2011,-25.66126667,27.32001667,North West,South Africa,No,Paved,Canis mesomelas,Road Collision,Veld
07/03/11,brown hyena,7,3,2011,-26.702017,15.350025,Karas Region,Namibia,No,Unpaved,Hyaena brunnea,Road Collision,Not given
31/07/11,brown hyena,31,7,2011,-28.57033,16.381922,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
31/07/11,brown hyena,31,7,2011,-28.567003,16.464962,Karas Region,Namibia,No,Not recorded,Hyaena brunnea,Road Collision,Not given
08/06/11,brown hyena,8,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Hyaena brunnea,Road Collision,Not given
01/02/11,cape clawless otter,1,2,2011,-25.95833333,27.04166667,North West,South Africa,No,Paved,Aonyx capensis,Road Collision,Grassland
01/11/11,cape fox,1,11,2011,NA,NA,Western Cape,South Africa,No,Not recorded,Vulpes chama,Road Collision,Not given
05/06/11,cape fox,5,6,2011,NA,NA,North West,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
26/06/11,cape fox,26,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
30/06/11,cape fox,30,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
12/07/11,cape fox,12,7,2011,NA,NA,Western Cape,South Africa,No,Paved,Vulpes chama,Road Collision,Not given
06/03/11,caracal,6,3,2011,-27.509718,28.829782,KwaZulu-Natal,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
15/07/11,caracal,15,7,2011,-27.412896,28.805837,KwaZulu-Natal,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
12/09/11,caracal,12,9,2011,-27.355653,28.787168,KwaZulu-Natal,South Africa,No,Paved,Caracal caracal,Road Collision,Not given
05/09/11,caracal,5,9,2011,-25.85066,25.6817,North West,South Africa,No,Paved,Caracal caracal,Road Collision,Veld
08/06/11,honey badger,8,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Mellivora capensis,Road Collision,Not given
04/08/11,large-spotted genet,4,8,2011,-25.5903,26.30405,North West,South Africa,No,Paved,Genetta tigrina,Road Collision,Veld
30/11/11,large-spotted genet,30,11,2011,-25.57186667,26.05106667,North West,South Africa,No,Paved,Genetta tigrina,Road Collision,Veld
07/12/11,large-spotted genet,7,12,2011,-25.51645,26.39013333,North West,South Africa,No,Paved,Genetta tigrina,Road Collision,Veld
24/07/11,serval,24,7,2011,-27.136217,28.687612,KwaZulu-Natal,South Africa,No,Paved,Leptailurus serval,Road Collision,Not given
10/09/11,serval,10,9,2011,-27.538172,28.835343,KwaZulu-Natal,South Africa,No,Paved,Leptailurus serval,Road Collision,Not given
14/10/11,serval,14,10,2011,-27.340053,28.782233,KwaZulu-Natal,South Africa,No,Paved,Leptailurus serval,Road Collision,Not given
20/11/11,serval,20,11,2011,-27.282814,28.763703,KwaZulu-Natal,South Africa,No,Paved,Leptailurus serval,Road Collision,Not given
21/12/11,serval,21,12,2011,-27.259485,28.752955,KwaZulu-Natal,South Africa,No,Paved,Leptailurus serval,Road Collision,Not given
01/11/11,serval,1,11,2011,-25.44898333,26.37785,North West,South Africa,No,Paved,Leptailurus serval,Road Collision,Veld
15/03/11,serval,15,3,2011,-25.625,26.95833333,North West,South Africa,No,Paved,Leptailurus serval,Road Collision,Veld
01/03/11,slender mongoose,1,3,2011,-25.63796667,27.04211667,North West,South Africa,No,Paved,Galerella sanguinea,Road Collision,Veld
11/09/11,slender mongoose,11,9,2011,-26.58961667,27.02916667,North West,South Africa,No,Paved,Galerella sanguinea,Road Collision,Not given
28/09/11,small-spotted genet,28,9,2011,NA,NA,Eastern Cape,South Africa,No,Paved,Genetta genetta,Road Collision,Not given
02/05/11,small-spotted genet,2,5,2011,-25.92463333,27.10953333,North West,South Africa,No,Paved,Genetta genetta,Road Collision,Agricultural
10/10/11,small-spotted genet,10,10,2011,-25.94581154,27.17196219,North West,South Africa,No,Paved,Genetta genetta,Road Collision,Agricultural
30/11/11,small-spotted genet,30,11,2011,-25.99113333,25.39331667,North West,South Africa,No,Paved,Genetta genetta,Road Collision,Veld
06/01/11,striped polecat,6,1,2011,-25.82735,25.80598,North West,South Africa,No,Paved,Ictonyx striatus,Road Collision,Veld
10/10/11,striped polecat,10,10,2011,-26.00643333,27.32361667,North West,South Africa,No,Paved,Ictonyx striatus,Road Collision,Agricultural
31/03/11,striped polecat,31,3,2011,-25.60228333,26.329,North West,South Africa,No,Paved,Ictonyx striatus,Road Collision,Veld
27/01/11,striped polecat,27,1,2011,-25.73265,28.79278,Gauteng,South Africa,No,Paved,Ictonyx striatus,Road Collision,Veld
19/05/11,striped polecat,19,5,2011,NA,NA,North West,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
16/06/11,striped polecat,16,6,2011,NA,NA,Northern Cape,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
12/07/11,striped polecat,12,7,2011,NA,NA,Western Cape,South Africa,No,Paved,Ictonyx striatus,Road Collision,Not given
21/04/11,water mongoose,21,4,2011,-33.006100000000004,27.9233,Eastern Cape,South Africa,No,Paved,Atilax paludinosus,Road Collision,Not given
26/05/11,water mongoose,26,5,2011,-25.9469,27.17398333,North West,South Africa,No,Paved,Atilax paludinosus,Road Collision,Grassland
27/03/11,white-tailed mongoose,27,3,2011,-25.60228333,26.329,North West,South Africa,No,Paved,Ichneumia albicauda,Road Collision,Veld
09/11/11,yellow mongoose,9,11,2011,-26.56852,25.61137,North West,South Africa,No,Paved,Cynictis penicillata,Road Collision,Veld
01/12/11,yellow mongoose,1,12,2011,-26.3545,25.62918333,North West,South Africa,No,Paved,Cynictis penicillata,Road Collision,Veld
10/12/12,aardwolf,10,12,2012,-29.8822,25.8701,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
10/12/12,aardwolf,10,12,2012,-30.5665,25.4663,Free State,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
19/05/12,aardwolf,19,5,2012,-28.20788,17.28459,Not given,Namibia,No,Not recorded,Proteles cristata,Road Collision,Not given
16/01/12,aardwolf,16,1,2012,-25.84005,25.737416670000002,North West,South Africa,No,Paved,Proteles cristata,Road Collision,Veld
26/06/12,aardwolf,26,6,2012,-27.84793333,25.21955,North West,South Africa,No,Paved,Proteles cristata,Road Collision,Veld
07/07/12,aardwolf,7,7,2012,-26.62436667,27.49758333,North West,South Africa,No,Paved,Proteles cristata,Road Collision,Not given
19/03/12,aardwolf,19,3,2012,-28.20788,17.28459,Not given,Namibia,No,Not recorded,Proteles cristata,Road Collision,Not given
19/05/12,aardwolf,19,5,2012,-28.20788,17.28459,Not given,South Africa,No,Not recorded,Proteles cristata,Road Collision,Not given
19/05/12,aardwolf,19,5,2012,-28.20788,17.28459,Not given,South Africa,No,Not recorded,Proteles cristata,Road Collision,Not given
19/02/12,african civet,19,2,2012,-27.194356,28.719389,KwaZulu-Natal,South Africa,No,Paved,Civettictis civetta,Road Collision,Not given
