ID_nr,Date,Day,Month,Year,Time,decimalLatitude,decimalLongitude,verbatimCoordinates,GeoreferencingComments,georeferencedBy,coordinatePrecision,georeferenceVerificationStatus,Country,Province,Location,ProtectedArea,ProtectedAreaName,Elevation_m,RoadName,RoadType,RoadSurface,DrivingFrom,DrivingTo,TotalMileage,TimeStart,TimeEnd,RecordingRoadkill,Speed_kmh,OdometerReading,Class,vernacularName,Genus,ScientificName,Number,SpeciesComments,LivestockType,Sex,ActivityPhase,lifeStage,IncidentType,MeansOfReporting,Detail,Other,Photograph,HabitatGCategory,HabitatComments,FenceCategory,FenceComments,recordedBy,Institution,DataEnteredBy,fieldNotes
7827,17/03/15,17,3,2015,15:12:04,-27.3778,20.7932,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,cape fox,Vulpes,Vulpes chama,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7828,17/03/15,17,3,2015,15:12:05,-27.374,20.7929,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,bat-eared fox,Otocyon,Otocyon megalotis,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7829,17/03/15,17,3,2015,15:13:00,-27.3702,20.7929,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,cape fox,Vulpes,Vulpes chama,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7830,17/03/15,17,3,2015,15:18:00,-27.2663,20.7919,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,bat-eared fox,Otocyon,Otocyon megalotis,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7832,17/03/15,17,3,2015,15:26:04,-27.0878,20.7823,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,bat-eared fox,Otocyon,Otocyon megalotis,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7839,17/03/15,17,3,2015,15:33:00,-26.971,20.7439,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,small-spotted genet,Genetta,Genetta genetta,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7840,17/03/15,17,3,2015,15:34:00,-26.9636,20.721800000000002,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Yes,Not recorded,Not recorded,Mammalia,striped polecat,Ictonyx,Ictonyx striatus,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Matt Pretorius,EWT,Laura Goodman,NA
7842,18/03/15,18,3,2015,05:34:04,-29.1844,24.8132,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,aardwolf,Proteles,Proteles cristata,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7843,18/03/15,18,3,2015,05:41:05,-29.2182,24.8909,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,aardwolf,Proteles,Proteles cristata,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7845,18/03/15,18,3,2015,06:54:00,-29.1806,25.9775,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,bat-eared fox,Otocyon,Otocyon megalotis,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
