unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79651,52044,550,PEM,Voucher,M. Burger and J. Vaughan,South Africa,Western Cape,"Anysberg Nature Reserve, Top of berg",NA,1989,3,29,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52044,-33.48527778,20.71111111
79652,52043,550,PEM,Voucher,W R Branch,South Africa,Western Cape,"1,1km East of Farm Boplaas, Anysberg Nature Reserve","degree, minute and integer second",1991,10,20,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52043,-33.48333333,20.46666667
79653,115155,550,CAPENATURE,voucher,W R Branch,South Africa,Western Cape,"1,1km E farm Boplaas, Anysberg Nat Res","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115155,-33.48333333,20.46666667
79654,96026,550,CUN-HEN,voucher,"MJC,CLH",South Africa,Western Cape,Pk adjacent to Buffelshoek,"degree, minute and integer second",2005,12,20,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96026,-33.47833333,19.39333333
79655,115103,550,CAPENATURE,voucher,R. Boycott,South Africa,Western Cape,"Sandrifkloof, Hex River Mountains","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115103,-33.46166667,19.54277778
79656,115105,550,CAPENATURE,voucher,A.L. de Villiers,South Africa,Western Cape,"Sandrifkloof, Hex River Mountains","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115105,-33.46166667,19.54277778
79657,115475,550,CAPENATURE,sight,T Taute,South Africa,Western Cape,Swartberg,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115475,-33.46,21.28416667
79658,52042,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,"Calitzdorp dam, Little Karoo",NA,1993,10,2,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52042,-33.4525,21.78611111
79659,115127,550,CAPENATURE,voucher,W.R. Branch,South Africa,Western Cape,"Calitzdorp dam, Little Karroo.","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115127,-33.4525,21.78611111
79660,574,550,ReptileMAP-VM,VMUS,Els J.C.,South Africa,Western Cape,Blesberg area; Swartberg; Oudtshoorn; Western Cape.,0-250 m,2005,8,25,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-574,-33.44111111,22.67777778
