unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79144,115185,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,Cape Agulhas [10 miles W of point],"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115185,-34.82305556,20.01472222
79145,115200,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,"Hagelkraal [nr Agulhas, 3419DA]","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115200,-34.82305556,20.01472222
79146,115201,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,"Cape Agulhas [just W of, 3419DD]","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115201,-34.82305556,20.01472222
79147,22420,550,TM,voucher,V FITZSIMONS,South Africa,Western Cape,Cape Agulhas,degree and integer minute,1940,10,27,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22420,-34.81666667,20.01666667
79148,22436,550,TM,voucher,JD VISSER,South Africa,Western Cape,Cape Agulhas,degree and integer minute,0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22436,-34.81666667,20.01666667
79149,115323,550,CAPENATURE,voucher,V FITZSIMONS,South Africa,Western Cape,CAPE AGULHAS,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactyylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115323,-34.81666667,20.01666667
79150,115359,550,CAPENATURE,voucher,JD VISSER,South Africa,Western Cape,CAPE AGULHAS,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115359,-34.81666667,20.01666667
79151,3104,550,ReptileMAP-VM,VMUS,Badenhorst W.J.,South Africa,Western Cape,Struisbaai,0-250 m,2007,2,14,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactyylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-3104,-34.81236111,20.052
79152,3824,550,ReptileMAP-VM,VMUS,Dorse C. & van Rooyen S.,South Africa,Western Cape,Struisbaai,0-250 m,2007,12,23,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-3824,-34.80130556,20.03858333
79153,22446,550,TM,voucher,S ENDRODY YOUNGA,South Africa,Western Cape,Struisbaai,degree and integer minute,1983,8,28,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22446,-34.76666667,20.05
79154,115348,550,CAPENATURE,voucher,S ENDRODY YOUNGA,South Africa,Western Cape,STRUISBAAI,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115348,-34.76666667,20.05
79155,22443,550,TM,voucher,CT STUART,South Africa,Western Cape,Groot  Hagelkraal,degree and integer minute,0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22443,-34.7,19.55
79156,22395,550,TM,voucher,S ENDRODY YOUNGA,South Africa,Western Cape,Bushy Park,degree and integer minute,1983,10,27,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22395,-34.68333333,20.11666667
79157,22396,550,TM,voucher,S ENDRODY YOUNGA,South Africa,Western Cape,Bushy Park,degree and integer minute,1983,10,27,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22396,-34.68333333,20.11666667
79158,5262,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Arniston,0-250 m,2008,9,30,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-5262,-34.67055556,20.23
79159,115177,550,CAPENATURE,voucher,HA Fry,South Africa,Western Cape,Wagenhuiskrantz,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115177,-34.66611111,20.23222222
79160,115241,550,CAPENATURE,voucher,HA Fry,South Africa,Western Cape,Wagenhuiskrantz,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115241,-34.66611111,20.23222222
79161,1013,550,ReptileMAP-VM,VMUS,Dorse C.,South Africa,Western Cape,Wahuiskrans; Kassiesbaai,0-250 m,2006,2,10,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-1013,-34.665,20.22972222
79162,74542,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74542,-34.625,19.625
79163,74543,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74543,-34.625,19.875
79164,74547,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74547,-34.625,20.125
79165,115351,550,CAPENATURE,voucher,CT STUART,South Africa,Western Cape,GROOT HAGELKRAAL,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115351,-34.625,19.625
79166,133226,550,FMNH,voucher,John Visser,South Africa,Western Cape,Bredasdorp,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-133226,-34.625,20.125
79167,133227,550,FMNH,voucher,John Visser,South Africa,Western Cape,Bredasdorp,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-133227,-34.625,20.125
79168,108,550,ReptileMAP-VM,VMUS,Leslie R.W.,South Africa,Western Cape,Gansbaai; near Kleinbaai golf course,0-250 m,2005,7,30,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-108,-34.61916667,19.34638889
79169,115276,550,CAPENATURE,voucher,Prins,South Africa,Western Cape,Gansbaai,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115276,-34.58305556,19.35138889
79170,99837,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Byeneskranskop, Gansbaai District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99837,-34.5775,19.46833333
79171,115209,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Byeneskranskop, Gansbaai","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115209,-34.5775,19.46833333
79172,60612,550,NMB,Voucher,E. VISAGIE,South Africa,Western Cape,HELDERFONTEIN,degree and integer minute,1992,2,13,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-60612,-34.56666667,19.93333333
79173,99838,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Witkransberge, Gansbaai District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99838,-34.545,19.42416667
79174,115290,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Witkransberge,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115290,-34.545,19.42416667
79175,5272,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,De Hoop Nature Reserve,0-250 m,2008,10,2,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-5272,-34.4975,20.425
79176,5882,550,ReptileMAP-VM,VMUS,Hardaker T.; Hardaker M.; Dorse C. & Dorse S.,South Africa,Western Cape,De Hoop Nature Reserve,0-250 m,2008,11,29,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-5882,-34.47555556,20.50583333
79177,115492,550,CAPENATURE,sight,"A.Hess , N.Fortuin , K.Spencer",South Africa,Western Cape,Mosselbank area,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115492,-34.47,20.82944444
79178,115491,550,CAPENATURE,sight,P. Chadwick,South Africa,Western Cape,null,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115491,-34.46888889,20.83666667
79179,115097,550,CAPENATURE,sight,NULL,South Africa,Western Cape,Salmonsdam Nature Reserve,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115097,-34.43,19.64
79180,6006,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Potberg; on Whale Trail (De Hoop),NA,2008,0,27,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-6006,-34.42916667,20.71083333
79181,115100,550,CAPENATURE,sight,NULL,South Africa,Western Cape,Kleinjongensfontein Nature Reserve,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115100,-34.42,21.28
79182,115182,550,CAPENATURE,voucher,RF Lawrence,South Africa,Western Cape,"Kelders, Hermanus","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115182,-34.41944444,19.24194444
79183,115186,550,CAPENATURE,voucher,VB Whitehead,South Africa,Western Cape,Die Kelders,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115186,-34.41944444,19.24194444
79184,115253,550,CAPENATURE,voucher,VB Whitehead,South Africa,Western Cape,Die Kelders,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115253,-34.41944444,19.24194444
79185,6003,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Potberg; on Whale Trail (De Hoop),NA,2008,0,27,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-6003,-34.41444444,20.63777778
79186,115130,550,CAPENATURE,sight,NULL,South Africa,Western Cape,Blomboschfontein Nature Reserve,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115130,-34.41,21.22
79187,99855,550,JEM,voucher,NA,South Africa,Western Cape,Hermanus,"degree, minute and integer second",1929,12,1,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99855,-34.40833333,19.23333333
79188,99873,550,JEM,voucher,NA,South Africa,Western Cape,Hermanus,"degree, minute and integer second",1939,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99873,-34.40833333,19.23333333
79189,99874,550,JEM,voucher,NA,South Africa,Western Cape,Hermanus,"degree, minute and integer second",1929,12,1,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99874,-34.40833333,19.23333333
79190,99877,550,JEM,voucher,NA,South Africa,Western Cape,Hermanus,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99877,-34.40833333,19.23333333
79191,115199,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,Breede River Mouth,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115199,-34.40777778,20.82055556
79192,5504,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Cape Infanta,0-250 m,2008,10,12,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-5504,-34.4075,20.81583333
79193,4297,550,ReptileMAP-VM,VMUS,Dorse C. & van Rooyen S.,South Africa,Western Cape,Fernkloof NR; Hermanus,0-250 m,2007,3,11,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4297,-34.3925,19.268
79194,99875,550,JEM,voucher,JW de Kock,South Africa,Western Cape,Napier,"degree, minute and integer second",1955,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99875,-34.39166667,19.88888889
79195,115095,550,CAPENATURE,sight,NULL,South Africa,Western Cape,"Potberg centre, De Hoop Nature Reserve","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115095,-34.38333333,20.53333333
79196,1086,550,ReptileMAP-VM,VMUS,Rebelo A.,South Africa,Western Cape,Potberg; gulley E of environmental centre,0-250 m,2006,3,18,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-1086,-34.38055556,20.53611111
79197,152860,550,ReptileMAP-VM,VMUS,Theron S,South Africa,Western Cape,Stilbaai,Google Map zoom-level: 14,2011,11,15,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-152860,-34.37974682,21.41703129
79198,52119,550,PEM,Voucher,NA,South Africa,Western Cape,Onrust,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52119,-34.375,19.125
79199,52120,550,PEM,Voucher,NA,South Africa,Western Cape,Onrust,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52120,-34.375,19.125
79200,52121,550,PEM,Voucher,NA,South Africa,Western Cape,Onrust,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52121,-34.375,19.125
79201,52122,550,PEM,Voucher,NA,South Africa,Western Cape,Onrust,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52122,-34.375,19.125
79202,74540,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74540,-34.375,19.125
79203,74546,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74546,-34.375,20.625
79204,74548,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74548,-34.375,21.375
79205,94004,550,JD-VISSER,voucher,NA,South Africa,Western Cape,Hermanus,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-94004,-34.375,19.125
79206,99854,550,JEM,voucher,NA,South Africa,Western Cape,Hermanus,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99854,-34.375,19.375
79207,115197,550,CAPENATURE,voucher,EB Eastwood,South Africa,Western Cape,Hermanus,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115197,-34.375,19.125
79208,115267,550,CAPENATURE,voucher,EB Eastwood,South Africa,Western Cape,Hermanus,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115267,-34.375,19.125
79209,115269,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,Onrus(t),"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115269,-34.375,19.125
79210,115270,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,Onrus(t),"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115270,-34.375,19.125
79211,134334,550,CAS,Voucher,NA,South Africa,Western Cape,Houw Hoek Pass,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134334,-34.375,19.125
79212,22421,550,TM,voucher,V FITZSIMONS,South Africa,Western Cape,Stillbay,degree and integer minute,1940,11,11,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22421,-34.36666667,21.41666667
79213,22422,550,TM,voucher,V FITZSIMONS,South Africa,Western Cape,Stillbay,degree and integer minute,1940,11,11,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22422,-34.36666667,21.41666667
79214,22423,550,TM,voucher,V FITZSIMONS,South Africa,Western Cape,Stillbay,degree and integer minute,1940,11,11,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-22423,-34.36666667,21.41666667
79215,4653,550,ReptileMAP-VM,VMUS,van Rooyen J.,South Africa,Western Cape,Gouritsmond. Main Beach Area,NA,2008,0,1,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4653,-34.35305556,21.88277778
79216,4651,550,ReptileMAP-VM,VMUS,van Rooyen J.,South Africa,Western Cape,Gouritsmond. Main Beach Area,NA,2008,0,1,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4651,-34.35277778,21.88305556
79217,4656,550,ReptileMAP-VM,VMUS,van Rooyen J.,South Africa,Western Cape,Gouritsmond. Main Beach Area,0-250 m,2008,5,1,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-4656,-34.35277778,21.88305556
79218,115132,550,CAPENATURE,sight,NULL,South Africa,Western Cape,Botrivier Nature Reserve,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115132,-34.34611111,19.09666667
79219,96027,550,CUN-HEN,photo,"MJC,CLH",South Africa,Western Cape,Malgas,"degree, minute and integer second",2007,7,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-96027,-34.30277778,20.58583333
79220,125706,550,SARCA-SURVEY,voucher,"M. Burger, P.G. Groenewald, S.",South Africa,Western Cape,NA,"degree, minute and integer second",2005,12,31,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-125706,-34.29722222,21.91111111
79221,99840,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Perdekloof,"degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99840,-34.29583333,19.22722222
79222,115292,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Perdekloof,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115292,-34.29583333,19.22722222
79223,99841,550,JEM,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,"Avontuur, Stanford District","degree, minute and integer second",1986,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-99841,-34.25444444,19.27583333
79224,115211,550,CAPENATURE,voucher,"leF Mouton, D Mostert.",South Africa,Western Cape,Avontuur,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115211,-34.25444444,19.27583333
79225,115247,550,CAPENATURE,voucher,C French,South Africa,Western Cape,Cape Peninsula 3418AB & 3418AD,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115247,-34.22861111,18.40472222
79226,3551,550,ReptileMAP-VM,VMUS,Els J.,South Africa,Western Cape,Mosselbay,NA,2006,0,23,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-3551,-34.20527778,22.08305556
79227,115278,550,CAPENATURE,voucher,J Visser,South Africa,Western Cape,"Mount Rhodes, Simonstown","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115278,-34.19416667,18.43222222
